Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
10,1 BHK Flat for Sale in Powai,"Spacious 1 BHK apartment located in Powai, Mumbai. Furnished with modern amenities.",64.31 Lac,6430519.0,"Powai, Mumbai",,Ready to Move,2 out of 10,New Property,Furnished,East,Pool,Palm Towers,,2.0,0.0,Leasehold,323 sqft,,408 sqft
11,3 BHK Flat for Sale in Behala,"Spacious 3 BHK apartment located in Behala, Kolkata. Semi-Furnished with modern amenities.",50.54 Lac,5053657.0,"Behala, Kolkata",1127 sqft,Under Construction,1 out of 4,New Property,Semi-Furnished,South-East,Garden/Park,Royal Towers,3.0,,,Freehold,1286 sqft,49x38,
12,5 BHK Flat for Sale in Sector 78,"Spacious 5 BHK apartment located in Sector 78, Noida. Semi-Furnished with modern amenities.",1.58 Cr,15801513.0,"Sector 78, Noida",159 sqm,Ready to Move,Ground out of 10,New Property,Semi-Furnished,South,Pool,Golden Towers,6.0,1.0,,,1944 sqft,,2434 sqft
13,3 BHK Flat for Sale in Sohna Road,"Spacious 3 BHK apartment located in Sohna Road, Gurgaon. Unfurnished with modern amenities.",1.3 Cr,12988685.0,"Sohna Road, Gurgaon",757 sqft,Ready to Move,8 out of 10,New Property,Unfurnished,South-East,,Sunrise Woods,4.0,3.0,2.0,Co-operative Society,,48x31,
14,5 BHK Flat for Sale in Yelahanka,"Spacious 5 BHK apartment located in Yelahanka, Bangalore. Furnished with modern amenities.",2.4 Cr,23997522.0,"Yelahanka, Bangalore",2300 sqft,Under Construction,4 out of 8,New Property,Furnished,West,,,5.0,1.0,0.0,Power Of Attorney,,24x56,
15,4 BHK Flat for Sale in Kondapur,"Spacious 4 BHK apartment located in Kondapur, Hyderabad. Semi-Furnished with modern amenities.",1.1 Cr,10994650.0,"Kondapur, Hyderabad",,Under Construction,3 out of 5,Resale,Semi-Furnished,North,Club,Maple Heights,5.0,3.0,,,,,
16,3 BHK Flat for Sale in Sector 57,"Spacious 3 BHK apartment located in Sector 57, Gurgaon. Furnished with modern amenities.",1.36 Cr,,"Sector 57, Gurgaon",999 sqft,Under Construction,13 out of 15,Resale,Furnished,East,Not Available,,4.0,2.0,0.0,Power Of Attorney,,23x37,
17,1 BHK Flat for Sale in Velachery,"Spacious 1 BHK apartment located in Velachery, Chennai. Furnished with modern amenities.",22.48 Lac,2247610.0,"Velachery, Chennai",376 sqft,Ready to Move,4 out of 20,Resale,Furnished,South-West,Main Road,Orchid County,1.0,2.0,,Leasehold,445 sqft,,
18,3 BHK Flat for Sale in New Town,"Spacious 3 BHK apartment located in New Town, Kolkata. Semi-Furnished with modern amenities.",66.89 Lac,6689186.0,"New Town, Kolkata",973 sqft,Under Construction,3 out of 8,New Property,Semi-Furnished,,Pool,Lake Gardens,3.0,,,Leasehold,1155 sqft,,
19,2 BHK Flat for Sale in Kukatpally,"Spacious 2 BHK apartment located in Kukatpally, Hyderabad. Semi-Furnished with modern amenities.",Call for Price,5466071.0,"Kukatpally, Hyderabad",688 sqft,Under Construction,10 out of 10,Resale,Semi-Furnished,West,,Silver Enclave,1.0,2.0,,,,,
20,3 BHK Flat for Sale in Sector 150,"Spacious 3 BHK apartment located in Sector 150, Noida. Semi-Furnished with modern amenities.",74.63 Lac,7462614.0,"Sector 150, Noida",1092 sqft,Under Construction,7 out of 20,Resale,Semi-Furnished,South-West,,Emerald Towers,,1.0,,Leasehold,1344 sqft,,
21,4 BHK Flat for Sale in Karol Bagh,"Spacious 4 BHK apartment located in Karol Bagh, Delhi. Semi-Furnished with modern amenities.",2.59 Cr,,"Karol Bagh, Delhi",135 sqm,Under Construction,4 out of 8,Resale,Semi-Furnished,,Pool,Orchid County,4.0,,,Co-operative Society,,46x49,2134 sqft
22,3 BHK Flat for Sale in Rajarhat,"Spacious 3 BHK apartment located in Rajarhat, Kolkata. Unfurnished with modern amenities.",68.59 Lac,,"Rajarhat, Kolkata",1369 sqft,Under Construction,4 out of 25,New Property,Unfurnished,,Garden/Park,Silver Residency,2.0,2.0,,,,,
23,3 BHK Flat for Sale in Thane West,"Spacious 3 BHK apartment located in Thane West, Mumbai. Semi-Furnished with modern amenities.",2.34 Cr,23371495.0,"Thane West, Mumbai",,Ready to Move,24 out of 25,Resale,Semi-Furnished,,,,3.0,,,,,,
24,3 BHK Flat for Sale in Porur,"Spacious 3 BHK apartment located in Porur, Chennai. Unfurnished with modern amenities.",1.23 Cr,12317390.0,"Porur, Chennai",1040 sqft,Ready to Move,10 out of 10,New Property,Unfurnished,North-East,Main Road,Silver Park,3.0,2.0,,Leasehold,1257 sqft,,
25,1 BHK Flat for Sale in Behala,"Spacious 1 BHK apartment located in Behala, Kolkata. Furnished with modern amenities.",32.46 Lac,,"Behala, Kolkata",361 sqft,Under Construction,Ground out of 8,Resale,Furnished,North-East,,Emerald Gardens,1.0,2.0,,Power Of Attorney,40 sqm,,
26,3 BHK Flat for Sale in Gachibowli,"Spacious 3 BHK apartment located in Gachibowli, Hyderabad. Unfurnished with modern amenities.",70.67 Lac,7067115.0,"Gachibowli, Hyderabad",1257 sqft,Under Construction,4 out of 4,Resale,Unfurnished,East,,Lake Residency,2.0,1.0,,,1677 sqft,,
27,2 BHK Flat for Sale in Behala,"Spacious 2 BHK apartment located in Behala, Kolkata. Furnished with modern amenities.",40.05 Lac,4005160.0,"Behala, Kolkata",708 sqft,Ready to Move,8 out of 10,Resale,Furnished,South-East,Main Road,,3.0,2.0,,,934 sqft,,
28,3 BHK Flat for Sale in Velachery,"Spacious 3 BHK apartment located in Velachery, Chennai. Semi-Furnished with modern amenities.",60.04 Lac,6003694.0,"Velachery, Chennai",1004 sqft,Under Construction,3 out of 8,Resale,Semi-Furnished,South-East,,Orchid Park,3.0,,0.0,,1108 sqft,,1332 sqft
29,3 BHK Flat for Sale in Whitefield,"Spacious 3 BHK apartment located in Whitefield, Bangalore. Unfurnished with modern amenities.",1.3 Cr,,"Whitefield, Bangalore",986 sqft,Ready to Move,10 out of 12,New Property,Unfurnished,South,Pool,Palm Enclave,4.0,1.0,2.0,,,50x25,
30,3 BHK Flat for Sale in Sector 78,"Spacious 3 BHK apartment located in Sector 78, Noida. Furnished with modern amenities.",1.0 Cr,,"Sector 78, Noida",975 sqft,Ready to Move,4 out of 5,Resale,Furnished,South-West,,Royal Heights,3.0,2.0,,Co-operative Society,1191 sqft,,
31,4 BHK Flat for Sale in Anna Nagar,"Spacious 4 BHK apartment located in Anna Nagar, Chennai. Unfurnished with modern amenities.",81.17 Lac,,"Anna Nagar, Chennai",,Under Construction,Basement out of 10,New Property,Unfurnished,North-East,Main Road,Golden Enclave,5.0,,,Power Of Attorney,1806 sqft,,2236 sqft
32,2 BHK Flat for Sale in OMR,"Spacious 2 BHK apartment located in OMR, Chennai. Semi-Furnished with modern amenities.",58.43 Lac,5842572.0,"OMR, Chennai",690 sqft,Ready to Move,11 out of 25,Resale,Semi-Furnished,West,Club,Royal Residency,2.0,1.0,,Co-operative Society,840 sqft,,
33,4 BHK Flat for Sale in New Town,"Spacious 4 BHK apartment located in New Town, Kolkata. Unfurnished with modern amenities.",1.03 Cr,10254945.0,"New Town, Kolkata",1245 sqft,Ready to Move,Basement out of 8,New Property,Unfurnished,North-East,,Palm Enclave,4.0,,,Power Of Attorney,,44x37,
34,4 BHK Flat for Sale in Behala,"Spacious 4 BHK apartment located in Behala, Kolkata. Furnished with modern amenities.",90.16 Lac,9016054.0,"Behala, Kolkata",1329 sqft,Under Construction,Ground out of 10,Resale,Furnished,North-West,Not Available,Royal Towers,4.0,2.0,2.0,Freehold,1750 sqft,,
35,3 BHK Flat for Sale in DLF Phase 3,"Spacious 3 BHK apartment located in DLF Phase 3, Gurgaon. Semi-Furnished with modern amenities.",1.5 Cr,,"DLF Phase 3, Gurgaon",,Ready to Move,3 out of 8,New Property,Semi-Furnished,North-East,,Emerald Residency,3.0,,,Leasehold,1395 sqft,,1476 sqft
36,5 BHK Flat for Sale in Baner,"Spacious 5 BHK apartment located in Baner, Pune. Semi-Furnished with modern amenities.",1.18 Cr,,"Baner, Pune",1866 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,,Club,Lake County,4.0,0.0,,Freehold,,,
37,2 BHK Flat for Sale in Behala,"Spacious 2 BHK apartment located in Behala, Kolkata. Semi-Furnished with modern amenities.",50.55 Lac,5054883.0,"Behala, Kolkata",675 sqft,Under Construction,6 out of 8,Resale,Semi-Furnished,West,Pool,,2.0,,,Power Of Attorney,843 sqft,,
38,5 BHK Flat for Sale in Sarjapur Road,"Spacious 5 BHK apartment located in Sarjapur Road, Bangalore. Unfurnished with modern amenities.",1.55 Cr,,"Sarjapur Road, Bangalore",1979 sqft,Ready to Move,1 out of 15,New Property,Unfurnished,South-West,,,5.0,1.0,0.0,Leasehold,2198 sqft,,
39,1 BHK Flat for Sale in New Town,"Spacious 1 BHK apartment located in New Town, Kolkata. Furnished with modern amenities.",24.91 Lac,,"New Town, Kolkata",344 sqft,Ready to Move,Basement out of 12,New Property,Furnished,West,,Palm Heights,1.0,2.0,2.0,,,53x22,
40,4 BHK Flat for Sale in Powai,"Spacious 4 BHK apartment located in Powai, Mumbai. Unfurnished with modern amenities.",Call for Price,,"Powai, Mumbai",1413 sqft,Ready to Move,3 out of 25,Resale,Unfurnished,,,Golden County,3.0,,2.0,,,,
41,2 BHK Flat for Sale in Janakpuri,"Spacious 2 BHK apartment located in Janakpuri, Delhi. Semi-Furnished with modern amenities.",1.42 Cr,14215092.0,"Janakpuri, Delhi",785 sqft,Ready to Move,2 out of 5,New Property,Semi-Furnished,East,,Lake Park,3.0,3.0,2.0,Power Of Attorney,890 sqft,,
42,2 BHK Flat for Sale in Sector 78,"Spacious 2 BHK apartment located in Sector 78, Noida. Furnished with modern amenities.",46.97 Lac,,"Sector 78, Noida",730 sqft,Ready to Move,5 out of 12,Resale,Furnished,North,Not Available,Royal Park,2.0,1.0,,Leasehold,852 sqft,,
43,2 BHK Flat for Sale in Vastrapur,"Spacious 2 BHK apartment located in Vastrapur, Ahmedabad. Furnished with modern amenities.",34.76 Lac,3475985.0,"Vastrapur, Ahmedabad",556 sqft,Ready to Move,2 out of 4,New Property,Furnished,North-East,Garden/Park,Lake Residency,2.0,2.0,2.0,Co-operative Society,658 sqft,,
44,2 BHK Flat for Sale in Velachery,"Spacious 2 BHK apartment located in Velachery, Chennai. Semi-Furnished with modern amenities.",67.85 Lac,6785258.0,"Velachery, Chennai",787 sqft,Under Construction,Ground out of 6,Resale,Semi-Furnished,South-East,,Orchid Enclave,3.0,2.0,,Co-operative Society,86 sqm,46x52,1128 sqft
45,2 BHK Flat for Sale in Satellite,"Spacious 2 BHK apartment located in Satellite, Ahmedabad. Unfurnished with modern amenities.",Call for Price,3371596.0,"Satellite, Ahmedabad",701 sqft,Under Construction,4 out of 6,Resale,Unfurnished,West,Club,Emerald Heights,1.0,1.0,,,900 sqft,54x25,
46,2 BHK Flat for Sale in New Town,"Spacious 2 BHK apartment located in New Town, Kolkata. Semi-Furnished with modern amenities.",41.28 Lac,4127800.0,"New Town, Kolkata",769 sqft,Ready to Move,5 out of 6,Resale,Semi-Furnished,South,,Emerald Woods,3.0,1.0,,,,,
47,2 BHK Flat for Sale in Behala,"Spacious 2 BHK apartment located in Behala, Kolkata. Furnished with modern amenities.",66.59 Lac,6659210.0,"Behala, Kolkata",64 sqm,Ready to Move,5 out of 5,Resale,Furnished,North,,Silver Enclave,1.0,1.0,,Power Of Attorney,898 sqft,,
48,2 BHK Flat for Sale in Malad West,"Spacious 2 BHK apartment located in Malad West, Mumbai. Furnished with modern amenities.",1.89 Cr,18871496.0,"Malad West, Mumbai",681 sqft,Under Construction,6 out of 6,New Property,Furnished,,Main Road,Lake Heights,3.0,2.0,,Co-operative Society,778 sqft,,
49,4 BHK Flat for Sale in Borivali East,"Spacious 4 BHK apartment located in Borivali East, Mumbai. Semi-Furnished with modern amenities.",4.23 Cr,,"Borivali East, Mumbai",,Under Construction,5 out of 6,Resale,Semi-Furnished,,Pool,Palm Park,4.0,0.0,0.0,,1933 sqft,,
50,4 BHK Flat for Sale in DLF Phase 3,"Spacious 4 BHK apartment located in DLF Phase 3, Gurgaon. Semi-Furnished with modern amenities.",2.58 Cr,25838158.0,"DLF Phase 3, Gurgaon",1829 sqft,Ready to Move,1 out of 20,Resale,Semi-Furnished,South-West,Pool,Orchid Towers,3.0,,,Power Of Attorney,,33x56,2875 sqft
51,4 BHK Flat for Sale in Madhapur,"Spacious 4 BHK apartment located in Madhapur, Hyderabad. Unfurnished with modern amenities.",77.44 Lac,7743887.0,"Madhapur, Hyderabad",1469 sqft,Under Construction,5 out of 5,Resale,Unfurnished,West,Garden/Park,Orchid Woods,5.0,,1.0,Co-operative Society,,57x38,
52,4 BHK Flat for Sale in Sector 62,"Spacious 4 BHK apartment located in Sector 62, Noida. Furnished with modern amenities.",1.84 Cr,18431536.0,"Sector 62, Noida",1514 sqft,Ready to Move,6 out of 6,New Property,Furnished,North-West,Club,,5.0,0.0,,Co-operative Society,1875 sqft,,
53,5 BHK Flat for Sale in Wakad,"Spacious 5 BHK apartment located in Wakad, Pune. Furnished with modern amenities.",1.84 Cr,,"Wakad, Pune",2277 sqft,Ready to Move,7 out of 10,New Property,Furnished,West,Club,Orchid Woods,5.0,3.0,,Leasehold,,45x25,
54,3 BHK Flat for Sale in Yelahanka,"Spacious 3 BHK apartment located in Yelahanka, Bangalore. Semi-Furnished with modern amenities.",1.51 Cr,15149600.0,"Yelahanka, Bangalore",1401 sqft,Under Construction,1 out of 6,New Property,Semi-Furnished,West,Pool,Royal County,2.0,1.0,1.0,Freehold,,,
55,2 BHK Flat for Sale in DLF Phase 3,"Spacious 2 BHK apartment located in DLF Phase 3, Gurgaon. Unfurnished with modern amenities.",82.3 Lac,,"DLF Phase 3, Gurgaon",620 sqft,Under Construction,4 out of 5,New Property,Unfurnished,North-East,Garden/Park,Maple County,2.0,1.0,1.0,Co-operative Society,824 sqft,,
56,1 BHK Flat for Sale in Vastrapur,"Spacious 1 BHK apartment located in Vastrapur, Ahmedabad. Semi-Furnished with modern amenities.",29.3 Lac,,"Vastrapur, Ahmedabad",34 sqm,Under Construction,10 out of 10,Resale,Semi-Furnished,South-West,Main Road,Emerald Residency,2.0,2.0,,Co-operative Society,,46x24,564 sqft
57,3 BHK Flat for Sale in Sector 82,"Spacious 3 BHK apartment located in Sector 82, Gurgaon. Semi-Furnished with modern amenities.",1.42 Cr,,"Sector 82, Gurgaon",1106 sqft,Under Construction,2 out of 5,Resale,Semi-Furnished,,Main Road,,3.0,0.0,,,,,
58,1 BHK Flat for Sale in Velachery,"Spacious 1 BHK apartment located in Velachery, Chennai. Semi-Furnished with modern amenities.",27.8 Lac,2780059.0,"Velachery, Chennai",,Under Construction,9 out of 20,Resale,Semi-Furnished,North-West,,Lake Park,1.0,2.0,1.0,Power Of Attorney,346 sqft,,
59,5 BHK Flat for Sale in Whitefield,"Spacious 5 BHK apartment located in Whitefield, Bangalore. Unfurnished with modern amenities.",2.17 Cr,,"Whitefield, Bangalore",1772 sqft,Ready to Move,12 out of 25,Resale,Unfurnished,South-West,Main Road,Lake Towers,4.0,0.0,1.0,Power Of Attorney,,54x22,
60,3 BHK Flat for Sale in Sector 150,"Spacious 3 BHK apartment located in Sector 150, Noida. Unfurnished with modern amenities.",83.89 Lac,,"Sector 150, Noida",892 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,,,Lake Woods,3.0,3.0,,Leasehold,1094 sqft,54x26,
61,3 BHK Flat for Sale in Thane West,"Spacious 3 BHK apartment located in Thane West, Mumbai. Unfurnished with modern amenities.",2.33 Cr,,"Thane West, Mumbai",807 sqft,Under Construction,17 out of 20,Resale,Unfurnished,South,,Maple Woods,3.0,3.0,,Leasehold,942 sqft,44x22,
62,5 BHK Flat for Sale in Sector 78,"Spacious 5 BHK apartment located in Sector 78, Noida. Unfurnished with modern amenities.",1.17 Cr,,"Sector 78, Noida",1394 sqft,Under Construction,2 out of 6,Resale,Unfurnished,South,Main Road,,4.0,1.0,2.0,Power Of Attorney,1841 sqft,,
63,2 BHK Flat for Sale in Madhapur,"Spacious 2 BHK apartment located in Madhapur, Hyderabad. Semi-Furnished with modern amenities.",52.6 Lac,5259889.0,"Madhapur, Hyderabad",,Ready to Move,15 out of 15,New Property,Semi-Furnished,,Not Available,Sunrise Gardens,2.0,1.0,,Freehold,798 sqft,26x58,894 sqft
64,2 BHK Flat for Sale in Sector 62,"Spacious 2 BHK apartment located in Sector 62, Noida. Semi-Furnished with modern amenities.",60.43 Lac,,"Sector 62, Noida",608 sqft,Under Construction,15 out of 25,New Property,Semi-Furnished,North-West,,,2.0,,2.0,Freehold,767 sqft,,
65,2 BHK Flat for Sale in Madhapur,"Spacious 2 BHK apartment located in Madhapur, Hyderabad. Semi-Furnished with modern amenities.",50.95 Lac,5095279.0,"Madhapur, Hyderabad",847 sqft,Ready to Move,Ground out of 8,Resale,Semi-Furnished,North-East,Pool,,2.0,2.0,,,,37x44,1203 sqft
66,2 BHK Flat for Sale in Sector 78,"Spacious 2 BHK apartment located in Sector 78, Noida. Unfurnished with modern amenities.",59.98 Lac,5998137.0,"Sector 78, Noida",747 sqft,Ready to Move,15 out of 25,Resale,Unfurnished,West,,Silver Gardens,2.0,1.0,,,862 sqft,,
67,4 BHK Flat for Sale in Viman Nagar,"Spacious 4 BHK apartment located in Viman Nagar, Pune. Unfurnished with modern amenities.",1.77 Cr,17680958.0,"Viman Nagar, Pune",1737 sqft,Ready to Move,Ground out of 10,New Property,Unfurnished,South-East,Pool,Green Woods,3.0,,,Freehold,2160 sqft,46x46,2433 sqft
68,4 BHK Flat for Sale in Madhapur,"Spacious 4 BHK apartment located in Madhapur, Hyderabad. Unfurnished with modern amenities.",1.09 Cr,10912496.0,"Madhapur, Hyderabad",1409 sqft,Ready to Move,4 out of 25,Resale,Unfurnished,South,,Golden Residency,4.0,0.0,,,1702 sqft,41x49,
69,1 BHK Flat for Sale in Wakad,"Spacious 1 BHK apartment located in Wakad, Pune. Unfurnished with modern amenities.",40.96 Lac,4095890.0,"Wakad, Pune",38 sqm,Under Construction,1 out of 4,New Property,Unfurnished,North,Not Available,Golden Park,2.0,2.0,1.0,Freehold,499 sqft,,
70,2 BHK Flat for Sale in Madhapur,"Spacious 2 BHK apartment located in Madhapur, Hyderabad. Semi-Furnished with modern amenities.",54.99 Lac,5498576.0,"Madhapur, Hyderabad",863 sqft,Under Construction,10 out of 15,New Property,Semi-Furnished,,Main Road,Maple Woods,3.0,1.0,,,961 sqft,,1247 sqft
71,5 BHK Flat for Sale in Baner,"Spacious 5 BHK apartment located in Baner, Pune. Semi-Furnished with modern amenities.",1.43 Cr,14256430.0,"Baner, Pune",1876 sqft,Ready to Move,Ground out of 4,Resale,Semi-Furnished,South,Main Road,Sunrise Towers,5.0,2.0,,,,,
72,4 BHK Flat for Sale in Sohna Road,"Spacious 4 BHK apartment located in Sohna Road, Gurgaon. Unfurnished with modern amenities.",1.31 Cr,,"Sohna Road, Gurgaon",950 sqft,Under Construction,3 out of 12,New Property,Unfurnished,North-East,,Maple Enclave,5.0,0.0,,Freehold,1281 sqft,,1480 sqft
73,2 BHK Flat for Sale in Porur,"Spacious 2 BHK apartment located in Porur, Chennai. Furnished with modern amenities.",Call for Price,5289694.0,"Porur, Chennai",656 sqft,Ready to Move,20 out of 25,Resale,Furnished,South,Garden/Park,Lake Park,1.0,0.0,,,,,
74,5 BHK Flat for Sale in Andheri West,"Spacious 5 BHK apartment located in Andheri West, Mumbai. Unfurnished with modern amenities.",6.47 Cr,64659026.0,"Andheri West, Mumbai",211 sqm,Ready to Move,Ground out of 6,Resale,Unfurnished,North-East,,Palm Towers,5.0,1.0,1.0,Co-operative Society,2976 sqft,38x36,
75,4 BHK Flat for Sale in Baner,"Spacious 4 BHK apartment located in Baner, Pune. Unfurnished with modern amenities.",1.59 Cr,15919590.0,"Baner, Pune",,Under Construction,Ground out of 6,New Property,Unfurnished,South,Main Road,Maple County,5.0,,1.0,,,,
76,3 BHK Flat for Sale in Yelahanka,"Spacious 3 BHK apartment located in Yelahanka, Bangalore. Unfurnished with modern amenities.",1.1 Cr,11012973.0,"Yelahanka, Bangalore",1092 sqft,Ready to Move,10 out of 25,Resale,Unfurnished,West,,Sunrise Enclave,3.0,,,Freehold,1281 sqft,,
77,4 BHK Flat for Sale in Sector 82,"Spacious 4 BHK apartment located in Sector 82, Gurgaon. Unfurnished with modern amenities.",Call for Price,15866380.0,"Sector 82, Gurgaon",,Ready to Move,Ground out of 5,Resale,Unfurnished,North-West,,Emerald Heights,5.0,3.0,1.0,Co-operative Society,1522 sqft,,
78,4 BHK Flat for Sale in Sector 57,"Spacious 4 BHK apartment located in Sector 57, Gurgaon. Furnished with modern amenities.",2.03 Cr,,"Sector 57, Gurgaon",,Under Construction,7 out of 25,New Property,Furnished,North-East,Pool,Lake Enclave,4.0,3.0,2.0,Co-operative Society,1502 sqft,,1805 sqft
79,1 BHK Flat for Sale in OMR,"Spacious 1 BHK apartment located in OMR, Chennai. Unfurnished with modern amenities.",26.38 Lac,2637685.0,"OMR, Chennai",357 sqft,Under Construction,7 out of 12,New Property,Unfurnished,North-West,Main Road,,1.0,1.0,1.0,Power Of Attorney,469 sqft,,
80,2 BHK Flat for Sale in Satellite,"Spacious 2 BHK apartment located in Satellite, Ahmedabad. Furnished with modern amenities.",37.66 Lac,3766290.0,"Satellite, Ahmedabad",795 sqft,Under Construction,7 out of 8,Resale,Furnished,North-East,Main Road,Maple Park,1.0,2.0,2.0,Leasehold,1000 sqft,28x21,1371 sqft
81,3 BHK Flat for Sale in Sector 57,"Spacious 3 BHK apartment located in Sector 57, Gurgaon. Furnished with modern amenities.",90.21 Lac,9021188.0,"Sector 57, Gurgaon",1127 sqft,Under Construction,10 out of 15,Resale,Furnished,South,,,,,,Leasehold,131 sqm,,
82,3 BHK Flat for Sale in Marathahalli,"Spacious 3 BHK apartment located in Marathahalli, Bangalore. Furnished with modern amenities.",1.23 Cr,12285662.0,"Marathahalli, Bangalore",899 sqft,Ready to Move,10 out of 20,Resale,Furnished,North,Main Road,Orchid Heights,2.0,,0.0,Freehold,,49x59,
83,1 BHK Flat for Sale in Karol Bagh,"Spacious 1 BHK apartment located in Karol Bagh, Delhi. Furnished with modern amenities.",78.84 Lac,7883513.0,"Karol Bagh, Delhi",381 sqft,Under Construction,4 out of 5,Resale,Furnished,North-East,Club,Golden Enclave,1.0,1.0,1.0,,430 sqft,,
84,2 BHK Flat for Sale in Kothrud,"Spacious 2 BHK apartment located in Kothrud, Pune. Semi-Furnished with modern amenities.",1.13 Cr,11343809.0,"Kothrud, Pune",997 sqft,Ready to Move,13 out of 15,New Property,Semi-Furnished,South-West,Pool,,3.0,,,Leasehold,1169 sqft,,
85,4 BHK Flat for Sale in Kukatpally,"Spacious 4 BHK apartment located in Kukatpally, Hyderabad. Unfurnished with modern amenities.",1.24 Cr,12356540.0,"Kukatpally, Hyderabad",1279 sqft,Under Construction,2 out of 4,Resale,Unfurnished,West,,Orchid Residency,4.0,1.0,2.0,,1563 sqft,59x36,
86,4 BHK Flat for Sale in Dadar West,"Spacious 4 BHK apartment located in Dadar West, Mumbai. Furnished with modern amenities.",4.14 Cr,41411684.0,"Dadar West, Mumbai",1213 sqft,Under Construction,11 out of 12,New Property,Furnished,North-West,Not Available,Sunrise Towers,5.0,1.0,1.0,Freehold,1503 sqft,,1727 sqft
87,2 BHK Flat for Sale in Gachibowli,"Spacious 2 BHK apartment located in Gachibowli, Hyderabad. Semi-Furnished with modern amenities.",63.19 Lac,6318873.0,"Gachibowli, Hyderabad",714 sqft,Under Construction,15 out of 15,Resale,Semi-Furnished,West,Club,Royal Residency,2.0,3.0,,Freehold,905 sqft,,
88,3 BHK Flat for Sale in Sector 57,"Spacious 3 BHK apartment located in Sector 57, Gurgaon. Semi-Furnished with modern amenities.",1.51 Cr,15144922.0,"Sector 57, Gurgaon",1078 sqft,Ready to Move,5 out of 10,New Property,Semi-Furnished,,Club,Golden Heights,3.0,2.0,,Freehold,1249 sqft,,
